planning_horizon,technology,parameter,value,unit,source,further_description
all,central excess-heat-sourced heat pump,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,central gas CHP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: chp
all,central gas CHP CC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: chp
all,central gas boiler,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,central geothermal heat source,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,central ground-sourced heat pump,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,central hydrogen CHP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: chp
all,central resistive heater,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,central solar thermal,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,central solid biomass CHP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: chp
all,central solid biomass CHP CC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: chp
all,central solid biomass CHP powerboost CC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: chp
all,central water pit charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,central water pit discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,central water pit storage,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,central water tank charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,central water tank discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,central water tank storage,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,clean water tank storage,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,coal,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,csp-tower,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,csp-tower TES,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,csp-tower power block,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,decentral CHP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: chp
all,decentral air-sourced heat pump,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral gas boiler,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral gas boiler connection,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral ground-sourced heat pump,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral oil boiler,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral resistive heater,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral solar thermal,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral water tank charger,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral water tank discharger,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
all,decentral water tank storage,discount rate,0.12,per unit,input_parameters_for_models.csv,TIMES hurdle: residential
