mode,location,variant,hour,value
V1H_V2H,home,time_of_use:cloudy:without_pv,22,0.043
V1H_V2H,work,with_pv,22,0.0102
V1H_V2H,home,capacity_tariff:sunny:with_pv,23,0.039
V1H_V2H,home,capacity_tariff:sunny:without_pv,23,0.049
V1H_V2H,home,capacity_tariff:cloudy:with_pv,23,0.039
V1H_V2H,home,capacity_tariff:cloudy:without_pv,23,0.049
V1H_V2H,home,time_of_use:sunny:with_pv,23,0.039
V1H_V2H,home,time_of_use:sunny:without_pv,23,0.049
V1H_V2H,home,time_of_use:cloudy:with_pv,23,0.039
V1H_V2H,home,time_of_use:cloudy:without_pv,23,0.049
V1H_V2H,work,with_pv,23,0.0103
