scenario,mode,year,share,units_kveh
Current commitments - High Flex,V2H,2023,0.0,0.0
Current commitments - High Flex,V2H,2024,0.0,0.0
Current commitments - High Flex,V2H,2025,0.0,0.0
Current commitments - High Flex,V2H,2026,0.0,0.0
Current commitments - High Flex,V2H,2027,0.0,0.0
Current commitments - High Flex,V2H,2028,0.0,0.0
Current commitments - High Flex,V2H,2029,0.01,10.0
Current commitments - High Flex,V2H,2030,0.0,10.0
Current commitments - High Flex,V2H,2031,0.01,20.0
Current commitments - High Flex,V2H,2032,0.01,20.0
Current commitments - High Flex,V2H,2033,0.01,30.0
Current commitments - High Flex,V2H,2034,0.01,40.0
Current commitments - High Flex,V2H,2035,0.01,50.0
Current commitments - High Flex,V2H,2036,0.01,50.0
Current commitments - High Flex,V1M,2023,0.005,0.0
Current commitments - High Flex,V1M,2024,0.01,0.0
Current commitments - High Flex,V1M,2025,0.03,20.0
Current commitments - High Flex,V1M,2026,0.04,40.0
Current commitments - High Flex,V1M,2027,0.05,60.0
Current commitments - High Flex,V1M,2028,0.08,120.0
Current commitments - High Flex,V1M,2029,0.1,190.0
Current commitments - High Flex,V1M,2030,0.13,280.0
Current commitments - High Flex,V1M,2031,0.16,390.0
Current commitments - High Flex,V1M,2032,0.2,510.0
Current commitments - High Flex,V1M,2033,0.22,630.0
Current commitments - High Flex,V1M,2034,0.24,740.0
Current commitments - High Flex,V1M,2035,0.26,860.0
Current commitments - High Flex,V1M,2036,0.27,950.0
Current commitments - High Flex,V2M,2023,0.0,0.0
Current commitments - High Flex,V2M,2024,0.0,0.0
Current commitments - High Flex,V2M,2025,0.0,0.0
Current commitments - High Flex,V2M,2026,0.0,0.0
Current commitments - High Flex,V2M,2027,0.0,0.0
Current commitments - High Flex,V2M,2028,0.0,0.0
Current commitments - High Flex,V2M,2029,0.0,0.0
Current commitments - High Flex,V2M,2030,0.0,10.0
Current commitments - High Flex,V2M,2031,0.0,10.0
Current commitments - High Flex,V2M,2032,0.01,20.0
Current commitments - High Flex,V2M,2033,0.01,30.0
Current commitments - High Flex,V2M,2034,0.01,30.0
Current commitments - High Flex,V2M,2035,0.01,40.0
Current commitments - High Flex,V2M,2036,0.01,40.0
Current commitments - Low Flex,V0,2023,0.735,240.0
Current commitments - Low Flex,V0,2024,0.69,340.0
Current commitments - Low Flex,V0,2025,0.7,490.0
Current commitments - Low Flex,V0,2026,0.65,630.0
Current commitments - Low Flex,V0,2027,0.61,770.0
Current commitments - Low Flex,V0,2028,0.58,880.0
Current commitments - Low Flex,V0,2029,0.54,990.0
Current commitments - Low Flex,V0,2030,0.5,1070.0
Current commitments - Low Flex,V0,2031,0.47,1130.0
Current commitments - Low Flex,V0,2032,0.45,1180.0
Current commitments - Low Flex,V0,2033,0.42,1210.0
Current commitments - Low Flex,V0,2034,0.41,1260.0
Current commitments - Low Flex,V0,2035,0.4,1330.0
Current commitments - Low Flex,V0,2036,0.39,1380.0
Current commitments - Low Flex,V1H,2023,0.26,90.0
Current commitments - Low Flex,V1H,2024,0.3,150.0
Current commitments - Low Flex,V1H,2025,0.29,200.0
Current commitments - Low Flex,V1H,2026,0.34,330.0
Current commitments - Low Flex,V1H,2027,0.38,480.0
Current commitments - Low Flex,V1H,2028,0.42,640.0
Current commitments - Low Flex,V1H,2029,0.44,820.0
Current commitments - Low Flex,V1H,2030,0.47,1000.0
Current commitments - Low Flex,V1H,2031,0.48,1150.0
Current commitments - Low Flex,V1H,2032,0.48,1260.0
Current commitments - Low Flex,V1H,2033,0.5,1430.0
Current commitments - Low Flex,V1H,2034,0.51,1580.0
