scenario,turbine,region,density_case,capacity_density_mw_km2,eligible_area_km2,p_nom_max_mw,flh_h,mean_capacity_factor,cf_area_weighted,energy_twh,n_turbines,scenario_title,turbine_label
S0_pypsa_eur,T136_V112,model,pypsa_eur,3.0,3597.1,10791.0,2442.0,0.2788,0.2765,26.352,3597,PyPSA-Eur default (CORINE + Natura 2000),V112 / 3.0 MW (tip 136 m)
S1_zoning,T136_V112,model,pypsa_eur,3.0,7121.79,21365.0,2467.0,0.2817,0.2801,52.717,7122,+ plan de secteur zoning (CoDT),V112 / 3.0 MW (tip 136 m)
S2_setbacks,T136_V112,model,pypsa_eur,3.0,1413.4,4240.0,2455.0,0.2802,0.2783,10.408,1413,+ dwellings and infrastructure setbacks (CDR 2024),V112 / 3.0 MW (tip 136 m)
S3_nature,T136_V112,model,pypsa_eur,3.0,1218.97,3657.0,2461.0,0.2809,0.2791,8.998,1219,"+ Natura 2000, reserves, wetlands, caves",V112 / 3.0 MW (tip 136 m)
S4_landscape,T136_V112,model,pypsa_eur,3.0,925.61,2777.0,2461.0,0.2809,0.279,6.833,926,+ landscape protection perimeters (PIP / ADESA),V112 / 3.0 MW (tip 136 m)
S5_risk,T136_V112,model,pypsa_eur,3.0,882.37,2647.0,2462.0,0.281,0.2791,6.517,882,"+ flood, karst, landslide, water-capture protection",V112 / 3.0 MW (tip 136 m)
S0_pypsa_eur,T185_NREL4,model,dense,8.0,3597.1,28777.0,3228.0,0.3685,0.3664,92.902,7194,PyPSA-Eur default (CORINE + Natura 2000),NREL 2020ATB 4.0 MW (tip 185 m)
S1_zoning,T185_NREL4,model,dense,8.0,7121.79,56974.0,3256.0,0.3717,0.3702,185.502,14244,+ plan de secteur zoning (CoDT),NREL 2020ATB 4.0 MW (tip 185 m)
S2_setbacks,T185_NREL4,model,dense,8.0,1309.4,10475.0,3242.0,0.3701,0.3683,33.966,2619,+ dwellings and infrastructure setbacks (CDR 2024),NREL 2020ATB 4.0 MW (tip 185 m)
S3_nature,T185_NREL4,model,dense,8.0,1122.89,8983.0,3250.0,0.371,0.3693,29.191,2246,"+ Natura 2000, reserves, wetlands, caves",NREL 2020ATB 4.0 MW (tip 185 m)
S4_landscape,T185_NREL4,model,dense,8.0,852.17,6817.0,3251.0,0.3711,0.3692,22.163,1704,+ landscape protection perimeters (PIP / ADESA),NREL 2020ATB 4.0 MW (tip 185 m)
S5_risk,T185_NREL4,model,dense,8.0,812.6,6501.0,3252.0,0.3712,0.3693,21.14,1625,"+ flood, karst, landslide, water-capture protection",NREL 2020ATB 4.0 MW (tip 185 m)
S0_pypsa_eur,T185_NREL4,model,derived,5.079,3597.1,18270.0,3228.0,0.3685,0.3664,58.981,4567,PyPSA-Eur default (CORINE + Natura 2000),NREL 2020ATB 4.0 MW (tip 185 m)
S1_zoning,T185_NREL4,model,derived,5.079,7121.79,36172.0,3256.0,0.3717,0.3702,117.77,9043,+ plan de secteur zoning (CoDT),NREL 2020ATB 4.0 MW (tip 185 m)
